id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,availability_365
5456,Guesthouse in Austin · ★4.84 · 1 bedroom · 2 beds · 1 bath,8028,Sylvia,78702,30.26057,-97.73441,Entire home/apt,126,2,657,2023-08-27,306
5769,Home in Austin · ★4.90 · 1 bedroom · 1 bed · 1 shared bath,8186,Elizabeth,78729,30.45697,-97.78422,Private room,45,1,290,2023-08-04,0
6413,Guesthouse in Austin · ★4.97 · Studio · 1 bed · 1 bath,13879,Todd,78704,30.24885,-97.73587,Entire home/apt,57,30,122,2022-10-17,0
6448,Guesthouse in Austin · ★4.97 · 1 bedroom · 2 beds · 1 bath,14156,Amy,78704,30.26034,-97.76487,Entire home/apt,159,3,305,2023-09-04,156
8502,Guest suite in Austin · ★4.56 · 1 bedroom · 1 bed · 1 bath,25298,Karen,78741,30.23466,-97.73682,Entire home/apt,48,4,51,2023-05-16,98
13035,Home in Austin · ★5.0 · 2 bedrooms · 2 beds · 2 baths,50793,Molly,78702,30.26098,-97.73072,Entire home/apt,123,30,18,2023-06-19,162
18258,Bungalow in Austin · ★5.0 · 3 bedrooms · 2 beds · 2 baths,39458,Billy,78745,30.19756,-97.78754,Entire home/apt,107,3,15,2023-08-18,3
22828,Guesthouse in Austin · ★4.94 · 1 bedroom · 1 bed · 1 bath,56488,David,78741,30.23614,-97.73225,Entire home/apt,65,30,51,2023-08-15,320
22982,Guesthouse in Austin · ★4.91 · 2 bedrooms · 2 beds · 1 bath,89031,Gina,78703,30.28074,-97.75381,Entire home/apt,250,1,166,2023-01-02,125
25028,Bungalow in Austin · ★4.94 · 2 bedrooms · 2 beds · 1 bath,102862,Elana,78757,30.33771,-97.73708,Entire home/apt,180,7,35,2021-07-28,51
37324,Home in Austin · ★4.87 · 1 bedroom · 1 bed · 1 bath,161189,Chris,78727,30.42895,-97.68958,Private room,33,30,39,2023-07-14,175
40285,Home in Austin · ★4.92 · 2 bedrooms · 2 beds · 2 baths,170787,Robbie,78731,30.35123,-97.76207,Entire home/apt,450,2,39,2023-06-10,356
47572,Home in Austin · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,215917,Belinda,78758,30.37783,-97.70749,Private room,43,30,8,2023-08-19,344
50318,Condo in Austin · ★4.88 · 2 bedrooms · 3 beds · 1 bath,12409,Flip,78705,30.28588,-97.75145,Entire home/apt,101,30,35,2023-07-18,270
57187,Guesthouse in Austin · ★4.91 · 1 bedroom · 3 beds · 1 bath,272156,Lois,78704,30.25756,-97.76995,Entire home/apt,106,1,1003,2023-09-04,306
69303,Condo in Austin · ★4.96 · 1 bedroom · 2 beds · 1.5 baths,272156,Lois,78704,30.26146,-97.77276,Entire home/apt,154,1,224,2023-08-15,312
69810,Guesthouse in Austin · ★4.98 · 1 bedroom · 1 bed · 1 bath,82762,Dolina,78704,30.2309,-97.76619,Entire home/apt,134,2,445,2022-03-08,0
70812,Guesthouse in Austin · ★4.89 · 1 bedroom · 3 beds · 1 bath,268988,Stephanie,78704,30.24648,-97.74913,Entire home/apt,165,2,175,2023-02-21,67
72833,Guesthouse in Austin · ★4.91 · 1 bedroom · 1 bed · 1 bath,378744,Ellen And Andy,78731,30.313,-97.75066,Entire home/apt,135,3,413,2023-03-26,0
73005,Townhouse in Austin · ★4.89 · 2 bedrooms · 4 beds · 2.5 baths,128514,Vivian,78727,30.41419,-97.73183,Entire home/apt,297,4,44,2023-01-04,87
73289,Rental unit in Austin · ★4.88 · 2 bedrooms · 2 beds · 2 baths,382510,Christina,78705,30.29016,-97.74478,Entire home/apt,111,30,60,2023-04-21,141
74318,Home in Austin · ★4.82 · 1 bedroom · 1 bed · 1 bath,387918,Amy & Justin,78704,30.24473,-97.77923,Entire home/apt,118,2,251,2022-11-14,172
75957,Guesthouse in Austin · ★4.97 · 1 bedroom · 2 beds · 1 bath,404260,Kelly,78703,30.29033,-97.76886,Entire home/apt,130,2,440,2023-09-06,230
76501,Guest suite in Austin · ★4.96 · 1 bedroom · 2 beds · 1 bath,408534,Kevin And Bob,78722,30.29192,-97.71939,Entire home/apt,125,2,228,2023-07-21,40
76911,Home in Austin · ★4.96 · 5 bedrooms · 14 beds · 3 baths,394012,Cole,78702,30.26945,-97.72491,Entire home/apt,400,2,202,2023-07-09,6
76925,Home in Austin · ★4.94 · 3 bedrooms · 5 beds · 2 baths,411190,Lynn,78702,30.25505,-97.72552,Entire home/apt,400,2,16,2019-05-27,0
77347,Home in Austin · 1 bedroom · 1 bed · 1 private bath,382265,Leslie,78733,30.33877,-97.882,Private room,104,2,0,,365
77639,Home in Austin · ★4.68 · 2 bedrooms · 2 beds · 1 bath,416628,Carlos,78704,30.25023,-97.77985,Entire home/apt,179,2,60,2023-06-21,352
78035,Home in Austin · ★4.99 · 4 bedrooms · 4 beds · 3 baths,419192,Keith And Shannon,78704,30.25659,-97.76772,Entire home/apt,750,4,91,2022-10-17,5
78127,Home in Austin · ★4.20 · 5 bedrooms · 4 beds · 1 bath,419707,Julia,78701,30.27672,-97.74799,Entire home/apt,240,1,6,2019-05-26,0
78422,Home in Austin · ★4.86 · 3 bedrooms · 4 beds · 1 bath,421002,E. Dixie,78702,30.27443,-97.71135,Entire home/apt,75,4,22,2023-08-06,121
78731,Home in Austin · ★4.98 · 1 bedroom · 1 bed · 1 private bath,423131,Robin,78702,30.27011,-97.72693,Private room,129,3,223,2023-07-02,108
78884,Rental unit in Austin · ★4.78 · Studio · 2 beds · 1 bath,2157243,Sean,78704,30.26126,-97.77358,Entire home/apt,114,2,196,2023-07-16,143
79100,Guesthouse in Austin · ★4.97 · 1 bedroom · 1 bed · 1 bath,425706,Robert,78723,30.30933,-97.6952,Entire home/apt,127,30,39,2023-05-10,90
79603,Bungalow in Austin · ★4.81 · 2 bedrooms · 2 beds · 1 bath,428883,Beau,78704,30.24948,-97.75896,Entire home/apt,168,2,142,2022-12-31,52
79768,Bungalow in Austin · ★4.71 · 3 bedrooms · 3 beds · 1 bath,430091,Shawn,78702,30.26035,-97.73253,Entire home/apt,225,4,34,2019-03-11,0
82033,Home in Austin · ★4.25 · 3 bedrooms · 4 beds · 2 baths,445746,Kimberly,78723,30.30393,-97.68872,Entire home/apt,300,2,4,2021-05-30,179
83643,Home in Austin · ★4.96 · 1 bedroom · 1 bed · 1 shared bath,456230,Michele,78752,30.32395,-97.71851,Private room,52,2,274,2023-09-03,336
84771,Condo in Austin · ★4.67 · 2 bedrooms · 1 bed · 1 bath,321037,Lucien,78705,30.29386,-97.74188,Entire home/apt,81,2,16,2018-01-03,0
89475,Home in Austin · ★4.86 · 4 bedrooms · 5 beds · 2 baths,487072,Greg & Amanda,78757,30.35681,-97.72618,Entire home/apt,360,45,119,2023-03-14,344
90898,Home in Austin · ★4.73 · 2 bedrooms · 3 beds · 1 bath,236847,Lester,78704,30.24498,-97.74935,Entire home/apt,174,1,113,2023-03-14,355
90957,Home in Austin · ★4.57 · 1 bedroom · 2 beds · 1 shared bath,236847,Lester,78704,30.24574,-97.74828,Private room,84,1,7,2023-04-28,359
104099,Guest suite in Austin · ★4.83 · 1 bedroom · 2 beds · 1 bath,213651,Daniel,78704,30.2545350689337,-97.7767565077829,Entire home/apt,98,1,278,2023-09-04,20
104386,Home in Austin Texas · ★4.97 · 2 bedrooms · 3 beds · 1 bath,543367,Mary,78704,30.24645,-97.74701,Entire home/apt,150,31,139,2023-07-01,150
104394,Bed and breakfast in Austin · ★4.63 · 1 bedroom · 1 bed · 1.5 baths,543424,Jill,78745,30.20276,-97.82506,Private room,57,7,76,2023-06-30,84
109005,Townhouse in Austin · ★4.93 · 2 bedrooms · 2 beds · 1 bath,552705,"Amanda (Marz, Nickname)",78703,30.2826733159059,-97.7686198781023,Entire home/apt,250,3,15,2023-06-22,150
113779,Bungalow in Austin · ★4.87 · 1 bedroom · 1 bed · 1 bath,578211,Pete,78751,30.3027,-97.72945,Entire home/apt,126,20,101,2023-05-31,288
116014,Home in Austin · 3 bedrooms · 3 beds · 1 bath,419707,Julia,78701,30.27521,-97.74793,Entire home/apt,259,1,2,2019-04-14,0
128326,Home in Austin · ★4.94 · 3 bedrooms · 3 beds · 2 baths,634580,Morrie And Rachel,78736,30.24309,-98.0028,Entire home/apt,295,3,88,2023-07-30,332
140474,Bungalow in Austin · ★4.90 · 2 bedrooms · 3 beds · 1 bath,578211,Pete,78751,30.30215,-97.73046,Entire home/apt,120,20,90,2023-06-03,305
140504,Bungalow in Austin · ★4.92 · 1 bedroom · 1 bed · 1 bath,578211,Pete,78751,30.30397,-97.73037,Entire home/apt,127,20,98,2023-07-29,337
145210,Guesthouse in Austin · ★4.90 · 1 bedroom · 1 bed · 1 bath,475506,Dan,78705,30.30203,-97.74235,Entire home/apt,129,30,206,2022-11-09,284
158398,Home in Austin · ★4.82 · 4 bedrooms · 4 beds · 3 baths,760426,Lis,78704,30.25288,-97.78491,Entire home/apt,999,4,17,2022-06-18,163
167459,Home in West Lake Hills · ★4.63 · 4 bedrooms · 4 beds · 3 baths,628942,Marnie,78746,30.27767,-97.79126,Entire home/apt,800,3,8,2022-02-22,352
174828,Home in Austin · ★4.88 · 4 bedrooms · 4 beds · 2 baths,835236,Jenny,78752,30.33238,-97.71233,Entire home/apt,249,2,371,2023-05-30,169
184853,Home in Austin · ★5.0 · 2 bedrooms · 2 beds · 1.5 baths,518748,Rachel,78704,30.24106,-97.77315,Entire home/apt,130,30,8,2023-08-01,105
195674,Home in Austin · ★4.95 · 4 bedrooms · 5 beds · 2.5 baths,951551,Lori,78704,30.25775,-97.76703,Entire home/apt,750,2,40,2023-03-17,330
202187,Guesthouse in Austin · ★4.87 · 1 bedroom · 2 beds · 1 bath,989596,John,78704,30.24867,-97.74678,Entire home/apt,72,1,979,2023-08-09,229
202753,Loft in Austin · ★5.0 · 1 bedroom · 1 bed · 1 private bath,729047,Tracy,78703,30.276272,-97.757103,Private room,200,3,15,2023-03-17,38
207054,Home in Austin · ★4.91 · 2 bedrooms · 2 beds · 1 bath,1018853,Merri Gale & Donald,78741,30.24434,-97.73069,Entire home/apt,136,3,206,2023-07-30,78
208897,Home in Austin · ★4.96 · 3 bedrooms · 3 beds · 1 bath,1029071,Suzanne,78702,30.263203,-97.699829,Entire home/apt,152,2,158,2023-08-21,166
210834,Home in Austin · ★4.89 · 3 bedrooms · 5 beds · 2.5 baths,1039968,Megan,78704,30.2527,-97.74385,Entire home/apt,485,3,19,2022-12-28,36
214795,Condo in Austin · ★4.97 · 1 bedroom · 1 bed · 1 bath,1109019,Kristi,78704,30.25175,-97.77242,Entire home/apt,67,2,105,2022-10-31,12
218402,Home in Austin · ★4.73 · 1 bedroom · 1 bed · 1 private bath,1129520,Paulette,78754,30.36145,-97.64397,Private room,30,28,28,2023-07-20,255
219168,Rental unit in Austin · ★4.88 · Studio · 1 bed · 1 bath,1134580,Kalu,78704,30.24519,-97.74486,Entire home/apt,250,2,8,2016-10-09,0
222986,Home in Austin · ★4.96 · 3 bedrooms · 3 beds · 2 baths,1157982,Lyon,78702,30.25753,-97.7313,Entire home/apt,500,20,53,2017-10-01,230
224603,Guesthouse in Austin · ★4.94 · Studio · 1 bed · 1 bath,1169129,David And Kristy,78751,30.30732,-97.72782,Entire home/apt,108,60,115,2023-08-13,178
227372,Home in Austin · ★4.89 · 3 bedrooms · 5 beds · 2.5 baths,51183342,Hunter,78704,30.247942,-97.749763,Entire home/apt,394,1,266,2023-08-31,173
233930,Home in Austin · ★4.94 · 2 bedrooms · 2 beds · 1 bath,578211,Pete,78751,30.30289,-97.72961,Entire home/apt,165,20,102,2023-08-14,315
238657,Home in Austin · ★4.97 · 2 bedrooms · 2 beds · 1 bath,1250939,Kerry,78704,30.252,-97.75628,Entire home/apt,158,1,206,2023-09-04,202
240541,Guesthouse in Austin · ★4.61 · 1 bedroom · 1 bed · 1 bath,1246229,Elizabeth,78702,30.25424,-97.72587,Entire home/apt,49,1,776,2023-09-02,45
247770,Home in Austin · 3 bedrooms · 2 beds,1298575,Gloria,78723,30.30339,-97.68465,Entire home/apt,175,2,1,2012-03-13,0
248515,Home in Austin · ★4.83 · 2 bedrooms · 2 beds · 1 bath,1208485,Caitlin,78702,30.25572,-97.72874,Entire home/apt,201,2,186,2023-08-25,73
252804,Home in Austin · ★4.67 · 3 bedrooms · 3 beds · 1.5 baths,1327500,Brooks,78704,30.23254,-97.75479,Entire home/apt,100,30,94,2021-09-24,0
254232,Home in Austin · ★5.0 · 2 bedrooms · 2 beds · 2 baths,1335409,Eric,78703,30.2786540985107,-97.7555084228516,Entire home/apt,525,7,6,2022-10-31,314
271052,Condo in Austin · ★4.89 · 2 bedrooms · 2 beds · 2 baths,1418696,Kelsey,78704,30.25367,-97.77253,Entire home/apt,250,3,46,2023-03-19,342
277028,Home in Austin · ★4.69 · 5 bedrooms · 13 beds · 2.5 baths,746455,Michael,78703,30.28332,-97.76272,Entire home/apt,251,1,119,2023-05-21,260
281182,Home in Austin · ★4.90 · 3 bedrooms · 3 beds · 2.5 baths,1465788,Michelle,78702,30.28032,-97.70708,Entire home/apt,350,2,52,2023-05-07,158
282342,Rental unit in Austin · ★4.77 · 3 bedrooms · 3 beds · 2.5 baths,1471597,Teresa,78758,30.36774,-97.7078,Entire home/apt,86,30,30,2022-11-04,0
295275,Home in Austin · ★4.86 · 3 bedrooms · 3 beds · 2 baths,1282837,Joseph,78745,30.19037,-97.79003,Entire home/apt,191,30,66,2023-08-26,323
300574,Guesthouse in Austin · ★4.88 · 1 bedroom · 3 beds · 1 bath,167892,Veronica,78704,30.25508,-97.75767,Entire home/apt,135,2,459,2023-09-04,331
304808,Home in Austin · ★4.83 · 1 bedroom · 1 bed · 1 private bath,1566930,Chris,78702,30.2733,-97.7269,Private room,81,2,364,2023-07-15,313
304866,Guesthouse in Austin · ★4.82 · 1 bedroom · 2 beds · 1 bath,1568741,Jim O',78745,30.20943,-97.77117,Entire home/apt,80,3,182,2023-05-29,347
305392,Home in Austin · ★5.0 · 5 bedrooms · 5 beds · 3 baths,117233,Paige,78702,30.25688,-97.73244,Entire home/apt,695,3,13,2022-03-17,0
